To,Subject,Campaign,Priority,Status
wght@400..700,"📍 Clínica dental en Alcalá de Henares - Dra. Barrado — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
sonrisaamiga@gmail.com,"📍 Sonrisa Amiga: Clínica dental en Alcalá de Henares — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info@ruanopoliclinicadental.com,"📍 Confía en Ruano Policlínica Dental, tu dentista en Alcalá ... — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
alcalahenares1@vivanta.es,"📍 Clínica Dental en Alcalá de Henares I — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
cd.vazquezbello@gmail.com,"📍 Clínica dental en Alcalá de Henares — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info@rafaelgonzalezodontologos.es,"📍 Clínica odontológica en Alcalá de Henares — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
nombre@correo.com,"📍 Clínica dental Alcalá de Henares – MERIDIANBiohealth™ — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
albacetemenendezpidal@vitaldent.com,"📍 Clínica Dental Alcalá De Henares Centro — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
recepcionclinicadentalgadea@gmail.com,"📍 Clínica Dental Gadea-Alobera.Tu Dentista en Alcalá de ... — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
recepcion@dentalvalparaiso.es,"📍 Clínica Dental en Alcalá de Henares - Grupo Clínico Falahat — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
vertical_menu_minus@1_5x.png,"📍 Clínica Dental Alcalá de Henares — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
