Company_Name,First_Name,Email,Website,Phone,GMB_Rating,Review_Count,GMB_Claimed,Has_Website,SSL_Active,Load_Time_Ms,Is_Mobile_Responsive,Has_Schema,Broken_Links_Count,Photo_Count,GMB_Description,GMB_Has_Hours,GMB_Hours_Updated,Main_Competitor,Missing_Service,Icebreaker,SEO_Gap
Nuestra clínica | FISIOVALDES,propietario,intl-segmenter@11.7.10,https://www.fisiovaldes.com/nuestra-cl%C3%ADnica,777809926,,,,Sí,Sí,375,Sí,No,,,"",No,No,"","","",""
Iván Valdés Sánchez - Fisioterapeuta en la Clinica de ...,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
FisioValdes | Valdestillas,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
Clínica Valdés - Podologos Deditos Barefoot,propietario,hola@deditosbarefoot.com,https://podologos.deditosbarefoot.com/directory/clinica-valdes-2/,+34604430837,,,,Sí,Sí,1084,Sí,Sí,,,"",No,No,"","","",""
Los mejores 10 fisioterapeutas en Tomelloso - Abril 2026,propietario,"",https://www.docfav.com/buscar/fisioterapeuta/tomelloso,"",,,,Sí,Sí,196,Sí,Sí,,,"",No,No,"","","",""
Iván Valdés Sánchez (@fisioval_fisioterapiaavanzada),propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
San Miguel Fisioterapia: Maintenance Page,propietario,"",https://www.sanmiguelfisioterapia.com/maintenance-page/,770755555,,,,Sí,Sí,2848,Sí,Sí,,,"",No,No,"","","",""
Centro Dental Valdes | FUENLABRADA,propietario,c.dentalfisiovaldes@gmail.com,https://www.efisioterapia.net/clinicas/43070-centro-dental-valdes,604300101,,,,Sí,Sí,613,Sí,Sí,,,"",No,No,"","","",""
Clínica Fisalde | Fisioterapia avanzada & osteopatía ...,propietario,info@fisalde.com,https://www.fisalde.com/,777551995,,,,Sí,Sí,5968,Sí,No,1,,"",No,No,"","","",""
Contacto - FISIOVALDES Clínica de Fisioterapia,propietario,intl-segmenter@11.7.10,https://www.fisiovaldes.com/contacto,777894915,,,,Sí,Sí,971,Sí,No,,,"",No,No,"","","",""
San Miguel Fisioterapia: Maintenance Page,propietario,"",https://www.sanmiguelfisioterapia.com/maintenance-page/,770755555,,,,Sí,Sí,2480,Sí,Sí,,,"",No,No,"","","",""
Centro de fisioterapia FISIOVALDES Luarca,propietario,info@fisiovaldes.es,https://www.provenexpert.com/es-es/centro-de-fisioterapia-fisiovaldes-luarca/,726931319,,,,Sí,Sí,441,Sí,Sí,,,"",No,No,"","","",""
Fisioterapia Valdespartera | Cuida tu cuerpo con profesionales,propietario,info@fisioterapiavaldespartera.es,https://fisioterapiavaldespartera.es/,777893495,,,,Sí,Sí,1181,Sí,No,,,"",No,No,"","","",""
Encuentra los Mejores Fisioterapeutas en Caldes de Montbui,propietario,collection@infegy.com,https://www.cronoshare.com/servicios/fisioterapeutas/barcelona/caldes-de-montbui,657899856,,,,Sí,Sí,691,Sí,Sí,,,"",No,No,"","","",""
Contacto - FISIOVALDES Clínica de Fisioterapia,propietario,intl-segmenter@11.7.10,https://www.fisiovaldes.com/contacto,777894915,,,,Sí,Sí,208,Sí,No,,,"",No,No,"","","",""
Centro de fisioterapia FISIOVALDES,propietario,388fe63e6063cc241ca2a1b0f52622a3@o61919.ingest.us.sentry.io,https://www.fresha.com/lvp/centro-de-fisioterapia-fisiovaldes-avenida-de-galicia-luarca-q8w7RY,875000951,,,,Sí,Sí,900,Sí,Sí,,,"",No,No,"","","",""
Fisioterapia en Luarca (Asturias),propietario,"",https://www.paginasamarillas.es/a/fisioterapia/asturias/luarca/,817778949,,,,Sí,Sí,146,No,No,,,"",No,No,"","","",""
Centro Dental Valdés Fisio&Podología | Fuenlabrada,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
Laura Valdés Fisioterapia (@lauravaldesfisioterapia),propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
▷ Mejores Fisioterapeutas En Valdés 《 2026 》,propietario,"",https://fisiocerca.com/principado-de-asturias/valdes/,769839750,,,,Sí,Sí,375,Sí,Sí,,,"",No,No,"","","",""
